广东频道,#genre#
广东珠江,http://113.101.160.29:8888/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://113.67.164.10:8888/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://113.101.160.29:8888/rtp/239.77.0.114:5146$1920x1080
广东珠江,http://113.67.164.10:8888/rtp/239.77.0.114:5146$1920x1080
广东珠江,http://113.101.160.29:8888/rtp/239.77.1.94:5146$1920x1080
广东珠江,http://113.67.164.10:8888/rtp/239.77.1.94:5146$1920x1080
广东体育,http://125.93.74.27:9002/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://113.101.160.29:8888/rtp/239.77.0.112:5146$1920x1080
广东体育,http://113.67.164.10:8888/rtp/239.77.0.112:5146$1920x1080
广东体育,http://113.101.160.29:8888/rtp/239.77.0.168:5146$1920x1080
广东体育,http://113.67.164.10:8888/rtp/239.77.0.168:5146$1920x1080
广东体育,http://113.101.160.29:8888/rtp/239.77.1.97:5146$1920x1080
广东体育,http://113.67.164.10:8888/rtp/239.77.1.97:5146$1920x1080
广东新闻,http://113.101.160.29:8888/rtp/239.77.0.173:5146$1920x1080
广东新闻,http://113.67.164.10:8888/rtp/239.77.0.173:5146$1920x1080
广东新闻,http://113.101.160.29:8888/rtp/239.77.0.4:5146$1920x1080
广东新闻,http://113.67.164.10:8888/rtp/239.77.0.4:5146$1920x1080
广东新闻,http://125.93.74.27:9002/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://125.37.160.173:4022/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://223.10.117.215:8082/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://110.178.52.91:8082/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://219.140.224.108:5555/rtp/239.254.96.140:8914$1920x1080
广东卫视,http://119.98.124.146:4022/rtp/239.254.96.140:8914$1920x1080
广东卫视,http://121.29.133.22:8888/rtp/239.253.92.206:8108$1920x1080
广东卫视,http://124.163.112.145:6001/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://223.10.21.36:8083/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://120.42.189.54:4022/rtp/239.61.2.33:8192$1920x1080
广东卫视,http://119.98.134.206:5555/rtp/239.254.96.140:8914$1920x1080
广东卫视,http://223.10.21.36:8082/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://115.201.166.117:9999/rtp/233.50.200.187:5140$1920x1080
广东卫视,http://223.215.3.199:2000/rtp/238.1.78.161:7160$1920x1080
广东卫视,http://221.232.13.58:4022/rtp/239.254.96.140:8914$1920x1080
广东卫视,http://125.123.123.96:4022/rtp/233.50.200.187:5140$1920x1080
大湾区卫视,http://223.10.21.36:8083/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://223.10.21.36:8082/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://110.178.52.91:8082/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://223.10.117.215:8084/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://223.10.119.29:8082/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://223.10.117.215:8082/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://120.40.56.201:8888/rtp/239.61.3.5:9548$1920x1080
大湾区卫视,http://120.42.189.54:4022/rtp/239.61.3.5:9548$1920x1080
大湾区卫视,http://113.101.160.29:8888/rtp/239.77.0.215:5146$1920x1080
大湾区卫视,http://113.67.164.10:8888/rtp/239.77.0.215:5146$1920x1080
大湾区卫视,http://113.101.160.29:8888/rtp/239.77.1.12:5146$1920x1080
