广东频道,#genre#
广东珠江,http://113.110.220.255:8888/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://113.119.195.184:9999/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://113.110.220.255:8888/rtp/239.77.0.114:5146$1920x1080
广东珠江,http://113.119.195.184:9999/rtp/239.77.0.114:5146$1920x1080
广东珠江,http://113.110.220.255:8888/rtp/239.77.1.94:5146$1920x1080
广东珠江,http://113.119.195.184:9999/rtp/239.77.1.94:5146$1920x1080
广东体育,http://125.93.74.27:9002/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://113.110.220.255:8888/rtp/239.77.0.112:5146$1920x1080
广东体育,http://113.119.195.184:9999/rtp/239.77.0.112:5146$1920x1080
广东体育,http://113.110.220.255:8888/rtp/239.77.0.168:5146$1920x1080
广东体育,http://113.119.195.184:9999/rtp/239.77.0.168:5146$1920x1080
广东体育,http://113.110.220.255:8888/rtp/239.77.1.97:5146$1920x1080
广东体育,http://113.119.195.184:9999/rtp/239.77.1.97:5146$1920x1080
广东新闻,http://125.93.74.27:9002/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://113.110.220.255:8888/rtp/239.77.0.173:5146$1920x1080
广东新闻,http://113.119.195.184:9999/rtp/239.77.0.173:5146$1920x1080
广东新闻,http://113.110.220.255:8888/rtp/239.77.0.4:5146$1920x1080
广东新闻,http://113.119.195.184:9999/rtp/239.77.0.4:5146$1920x1080
广东卫视,http://171.118.210.200:8082/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://118.79.113.64:6000/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://110.178.52.195:8085/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://221.205.202.113:8085/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://110.178.52.195:8082/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://123.113.183.117:9000/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://110.178.52.75:8083/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://xeace.cn:8888/rtp/239.93.0.181:5140$1920x1080
广东卫视,http://114.246.193.16:8888/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://1.70.33.48:8084/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://1.70.35.119:8082/rtp/239.1.1.49:8049$1920x1080
广东卫视,http://27.11.60.108:8001/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://171.213.144.105:9999/rtp/239.93.0.181:5140$1920x1080
广东卫视,http://171.127.71.107:8085/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://61.188.254.218:9527/rtp/239.93.0.181:5140$1920x1080
大湾区卫视,http://223.13.160.204:4022/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://223.12.12.89:8084/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://223.10.11.187:8083/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://1.70.33.48:8084/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://1.70.35.119:8083/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://223.12.154.103:8082/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://110.178.52.195:8085/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://1.70.35.119:8082/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://110.178.52.75:8083/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://110.178.52.195:8082/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://223.10.11.187:8082/rtp/239.1.1.69:8069$1920x1080
大湾区卫视,http://110.87.27.179:8888/rtp/239.61.3.5:9548$1920x1080
大湾区卫视,http://120.41.67.42:8888/rtp/239.61.3.5:9548$1920x1080
大湾区卫视,http://113.110.220.255:8888/rtp/239.77.0.215:5146$1920x1080
大湾区卫视,http://113.119.195.184:9999/rtp/239.77.0.215:5146$1920x1080
江门综合,http://tidelive.jmtv.cn/lsdream/4x3T0dO/993/o734w00.m3u8
江门综合,http://113.110.220.255:8888/rtp/239.77.0.195:5146$1920x1080
江门综合,http://113.119.195.184:9999/rtp/239.77.0.195:5146$1920x1080
江门综合,http://113.110.220.255:8888/rtp/239.77.0.201:5146$1920x1080
江门综合,http://113.119.195.184:9999/rtp/239.77.0.201:5146$1920x1080
江门侨乡生活,http://113.110.220.255:8888/rtp/239.77.0.196:5146$1920x1080
江门侨乡生活,http://113.119.195.184:9999/rtp/239.77.0.196:5146$1920x1080
江门侨乡生活,http://113.110.220.255:8888/rtp/239.77.0.202:5146$1920x1080
江门侨乡生活,http://113.119.195.184:9999/rtp/239.77.0.202:5146$1920x1080
佛山综合,http://113.110.220.255:8888/rtp/239.253.43.52:5146$1920x1080
佛山综合,http://113.119.195.184:9999/rtp/239.253.43.52:5146$1920x1080
佛山综合,http://113.110.220.255:8888/rtp/239.253.43.57:5146$1920x1080
佛山综合,http://113.119.195.184:9999/rtp/239.253.43.57:5146$1920x1080
深圳卫视,http://61.136.67.238:50085/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://59.173.183.242:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://116.128.224.11:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://202.100.46.58:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://116.128.242.83:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://221.0.78.198:1681/hls/10235/index.m3u8
深圳卫视,http://58.57.21.166:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226313/index.m3u8$IPv6
深圳卫视,http://119.163.199.98:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000529/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000529$IPv6
深圳卫视,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8$IPv6
深圳卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226313/index.m3u8$IPv6
深圳卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8$IPv6
深圳卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$IPv6
深圳卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8$IPv6
央视频道,#genre#
CCTV-1,http://222.186.57.43:22222/php/migu.php?id=cctv1$1920x1080
CCTV-1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$IPv6
